,Person
680,ZUCKERBERG:
681,BALDWIN:
682,ZUCKERBERG:
683,BALDWIN:
684,ZUCKERBERG:
685,BALDWIN:
686,ZUCKERBERG:
687,BALDWIN:
688,ZUCKERBERG:
689,BALDWIN:
690,ZUCKERBERG:
691,BALDWIN:
692,ZUCKERBERG:
693,BALDWIN:
694,ZUCKERBERG:
695,THUNE:
696,BALDWIN:
697,THUNE:
698,JOHNSON:
699,ZUCKERBERG:
700,JOHNSON:
701,ZUCKERBERG:
702,JOHNSON:
703,ZUCKERBERG:
704,JOHNSON:
705,ZUCKERBERG:
706,JOHNSON:
707,ZUCKERBERG:
708,JOHNSON:
709,ZUCKERBERG:
710,JOHNSON:
711,JOHNSON:
712,ZUCKERBERG:
713,JOHNSON:
714,ZUCKERBERG:
715,JOHNSON:
716,ZUCKERBERG:
717,JOHNSON:
718,ZUCKERBERG:
719,JOHNSON:
720,ZUCKERBERG:
721,JOHNSON:
722,ZUCKERBERG:
723,JOHNSON:
724,THUNE:
725,HASSAN:
726,HASSAN:
727,ZUCKERBERG:
728,HASSAN:
729,ZUCKERBERG:
730,HASSAN:
731,ZUCKERBERG:
732,HASSAN:
733,ZUCKERBERG:
734,HASSAN:
735,ZUCKERBERG:
736,HASSAN:
737,GRASSLEY:
738,CAPITO:
739,ZUCKERBERG:
740,CAPITO:
741,ZUCKERBERG:
742,CAPITO:
743,ZUCKERBERG:
744,CAPITO:
745,ZUCKERBERG:
746,CAPITO:
747,ZUCKERBERG:
748,CAPITO:
749,ZUCKERBERG:
750,CAPITO:
751,ZUCKERBERG:
752,CAPITO:
753,ZUCKERBERG:
754,CAPITO:
755,ZUCKERBERG:
756,CAPITO:
757,THUNE:
758,MASTO:
759,MASTO:
760,ZUCKERBERG:
761,MASTO:
762,ZUCKERBERG:
763,MASTO:
764,ZUCKERBERG:
765,MASTO:
766,ZUCKERBERG:
767,MASTO:
768,ZUCKERBERG:
769,MASTO:
770,ZUCKERBERG:
771,MASTO:
772,ZUCKERBERG:
773,MASTO:
774,MASTO:
775,THUNE:
776,GARDNER:
777,ZUCKERBERG:
778,GARDNER:
779,ZUCKERBERG:
780,GARDNER:
781,ZUCKERBERG:
782,GARDNER:
783,ZUCKERBERG:
784,GARDNER:
785,ZUCKERBERG:
786,GARDNER:
787,ZUCKERBERG:
788,GARDNER:
789,ZUCKERBERG:
790,GARDNER:
791,ZUCKERBERG:
792,GARDNER:
793,ZUCKERBERG:
794,GARDNER:
795,ZUCKERBERG:
796,GARDNER:
797,ZUCKERBERG:
798,GARDNER:
799,ZUCKERBERG:
800,GARDNER:
801,ZUCKERBERG:
802,GARDNER:
803,ZUCKERBERG:
804,GARDNER:
805,ZUCKERBERG:
806,GARDNER:
807,ZUCKERBERG:
808,GARDNER:
809,ZUCKERBERG:
810,GARDNER:
811,ZUCKERBERG:
812,GARDNER:
813,ZUCKERBERG:
814,TESTER:
815,TESTER:
816,ZUCKERBERG:
817,TESTER:
818,ZUCKERBERG:
819,TESTER:
820,ZUCKERBERG:
821,TESTER:
822,ZUCKERBERG:
823,TESTER:
824,ZUCKERBERG:
825,TESTER:
826,ZUCKERBERG:
827,TESTER:
828,ZUCKERBERG:
829,TESTER:
830,ZUCKERBERG:
831,TESTER:
832,ZUCKERBERG:
833,TESTER:
834,TESTER:
835,ZUCKERBERG:
836,TESTER:
837,ZUCKERBERG:
838,TESTER:
839,ZUCKERBERG:
840,TESTER:
841,THUNE:
842,YOUNG:
843,ZUCKERBERG:
844,YOUNG:
845,ZUCKERBERG:
846,YOUNG:
847,ZUCKERBERG:
848,YOUNG:
849,ZUCKERBERG:
850,YOUNG:
851,GRASSLEY:
852,THUNE:
853,GRASSLEY:
854,THUNE:
855,GRASSLEY:
856,THUNE:
857,ZUCKERBERG:
